Order_ID,Item_ID,Quantity
965,14,3
493,74,2
760,75,2
329,32,3
285,31,2
925,83,2
484,13,2
391,86,3
770,45,2
681,34,1
439,80,1
109,61,2
48,38,2
875,2,3
874,45,2
685,8,1
584,29,2
278,5,2
992,49,2
315,9,1
155,84,1
473,32,3
438,29,3
718,45,3
737,78,1
875,94,1
787,86,2
273,77,1
253,22,3
916,14,3
151,71,2
127,96,2
545,5,1
979,27,2
932,63,3
437,28,3
658,25,2
125,96,1
422,18,2
566,92,2
244,66,1
942,67,1
328,96,3
786,17,1
803,47,3
76,30,3
68,77,2
259,90,1
586,74,1
351,29,2
178,72,2
245,30,2
531,37,2
770,40,2
450,22,2
886,94,2
693,65,3
522,45,3
356,78,1
681,17,2
511,87,3
76,41,2
513,58,1
499,13,3
472,8,1
663,21,3
243,37,2
402,72,1
707,10,1
730,10,2
849,27,3
837,58,1
980,91,1
215,46,1
991,32,1
614,80,2
608,13,1
128,89,3
587,96,2
491,74,2
245,57,3
150,78,3
514,11,1
769,28,3
314,13,2
155,64,3
511,64,3
376,34,2
370,93,1
222,22,3
149,16,1
212,96,1
44,71,2
950,6,1
96,98,3
386,4,2
424,40,2
238,86,1
212,29,2
360,77,3
511,65,1
506,92,1
743,52,3
604,59,2
448,37,2
478,16,2
422,35,3
640,18,1
96,19,3
768,37,1
346,87,3
453,84,3
427,85,1
844,59,3
838,33,3
87,17,1
794,74,2
904,81,3
759,46,1
616,37,2
732,9,2
878,26,3
647,93,1
48,68,3
362,41,3
548,3,2
977,20,2
59,74,3
537,45,2
719,75,2
913,7,1
436,20,3
926,7,3
803,42,3
291,86,2
648,62,2
831,38,3
674,23,1
608,54,1
121,30,3
283,6,2
763,33,3
189,24,2
280,58,1
801,82,2
65,58,3
70,18,1
317,35,2
383,47,3
597,10,3
50,19,1
240,27,2
872,69,2
361,70,1
787,39,1
644,12,2
388,45,1
408,19,2
778,96,2
889,88,1
175,100,3
96,61,3
697,8,3
258,75,1
84,70,1
541,99,1
349,50,3
381,36,2
692,52,2
367,52,3
410,40,3
939,42,2
537,58,1
427,68,1
74,74,1
835,89,3
78,33,1
236,29,3
746,70,3
834,19,3
21,31,2
872,26,2
881,31,3
20,70,2
752,20,3
674,49,3
261,46,1
427,43,3
397,50,2
877,89,1
973,24,1
103,40,2
964,91,3
79,10,3
255,69,2
942,44,3
78,89,3
479,34,1
391,87,2
308,12,1
186,88,2
123,6,2
326,42,1
951,5,3
721,69,1
360,72,3
926,56,2
511,76,3
411,77,2
344,98,2
599,14,3
291,56,1
565,29,2
529,24,1
908,81,2
529,59,2
628,99,2
327,23,3
148,20,3
901,44,2
16,6,2
936,29,3
397,14,3
992,86,1
338,91,2
73,31,1
888,20,3
772,30,1
66,2,2
704,24,1
948,94,3
505,75,1
407,64,1
715,78,3
963,90,2
317,3,1
667,58,3
685,88,3
954,75,3
111,2,3
872,33,2
935,70,1
914,77,1
766,46,3
365,82,1
812,1,2
836,3,1
455,31,1
763,99,3
184,61,1
127,86,2
453,98,1
595,72,2
675,62,3
577,95,2
579,44,3
585,66,3
641,73,1
192,92,1
207,8,1
150,77,2
164,30,1
934,15,1
349,10,1
798,61,2
405,95,1
641,34,3
185,31,3
852,82,3
903,51,3
548,4,3
976,46,3
703,17,2
595,70,2
914,62,2
611,100,3
898,55,1
153,1,3
204,40,1
896,51,3
419,59,3
342,7,3
517,19,3
688,54,2
759,76,1
184,8,1
964,55,3
499,30,3
316,28,2
698,21,2
222,24,3
988,80,2
182,68,1
672,30,1
374,4,3
578,40,2
933,34,3
878,9,2
113,81,1
242,79,3
251,94,3
736,60,3
705,21,3
395,17,3
998,26,2
888,14,2
211,22,2
17,34,3
892,91,1
429,83,1
394,49,3
904,42,3
80,60,3
690,63,2
738,63,2
803,57,3
796,15,2
267,28,3
8,89,1
459,91,1
294,41,3
577,48,2
13,9,1
577,55,3
567,8,3
491,6,1
640,92,1
400,75,3
394,9,2
616,44,3
91,5,1
597,74,2
124,97,3
770,63,2
596,52,2
606,75,2
395,77,3
775,40,1
451,44,3
935,86,2
983,96,3
947,21,1
621,78,3
262,53,1
624,74,3
194,64,1
884,89,1
754,44,2
879,70,3
896,89,3
878,28,3
98,42,1
962,86,2
415,4,1
937,76,2
392,92,2
6,3,1
602,6,2
888,67,3
960,39,2
311,1,2
717,74,3
326,60,2
909,24,3
62,20,1
384,46,2
130,84,3
28,34,3
529,23,2
739,94,2
862,27,2
727,25,3
945,22,3
358,73,2
790,77,2
214,93,2
124,64,1
127,39,1
862,16,3
822,21,2
809,53,1
410,85,3
689,38,1
343,68,3
670,17,2
19,92,3
595,80,2
548,85,3
497,15,3
120,58,3
813,15,3
595,28,3
961,52,2
734,52,1
356,18,2
723,25,3
205,42,3
344,51,1
834,78,3
583,78,1
424,94,1
84,12,3
649,98,1
273,21,2
